class,year,elevation,eastness,northness,roughness,dew_temp,precip_annual,temp_annual_mean,temp_annual_min,temp_annual_max,temp_january_min,vapor_min,vapor_max,county,longitude,latitude
Yes,2005,113,-25,96,30,6.4,1710,10.64,1.4,15.84,5.44,34,938,thurston,-123.082521,47.079908
No,2005,164,-84,53,13,6.06,1297,10.07,0.19,14.42,5.72,49,754,whatcom,-122.346826,48.771319
Yes,2005,299,93,34,6,4.43,2545,9.86,-1.2,15.78,3.95,67,1164,skamania,-121.914399,45.807759
Yes,2005,806,47,-88,35,1.06,609,7.72,-5.98,13.84,1.6,114,1254,stevens,-117.884149,48.073964
Yes,2005,736,-27,-96,53,1.35,539,7.89,-6,14.66,1.12,67,1331,stevens,-117.722435,48.190338
Yes,2005,636,-48,87,3,1.42,702,7.61,-5.76,14.23,0.99,67,1275,pend_oreille,-117.20429,48.288755
Yes,2005,224,-65,-75,9,6.39,1195,10.45,1.11,15.36,5.54,31,944,pierce,-122.176806,47.102145
Yes,2005,52,-62,78,42,6.5,1312,10.88,1.75,15.56,6.2,60,892,pierce,-122.611296,47.40131
Yes,2005,2240,-67,-74,99,-5.63,1036,0.28,-10.52,5.1,-4.54,79,549,okanogan,-120.272068,48.92261
Yes,2004,1044,96,-26,51,-1.97,1611,5.38,-5.25,9.93,0.82,172,846,whatcom,-120.951111,48.737946
Yes,2003,1031,-49,86,190,-0.77,2619,6.86,-4.8,12.14,1.57,162,1036,skagit,-121.264894,48.346516
Yes,2005,787,66,-74,95,3.22,2805,7.51,-1.48,11.49,3.54,70,635,king,-121.430303,47.715722
Yes,2005,1330,99,7,212,-0.32,3355,5.2,-3.14,9.18,1.22,119,633,snohomish,-121.426401,47.860677
Yes,2005,147,-79,-60,17,6.49,1409,10.67,1.28,15.83,5.51,36,945,thurston,-122.850549,46.877674
Yes,2005,1038,-34,-93,183,-1.22,1736,5.69,-5.56,10.17,1.22,155,843,chelan,-120.971123,48.349453
No,2005,1713,-66,75,227,-2.59,2568,3.64,-5.67,7.53,-0.26,138,596,whatcom,-121.268397,48.839666
